Date,Name,Marketcap,PostDate,PostMarketcap,Change
2020-02-06,Ethereum,23270983771.9064,2020-02-07,24412375481.5021,4.9048
2020-02-06,IOTA,919099632.7644,2020-02-07,891890353.6108,2.9604
2020-02-06,Litecoin,4698795736.6744,2020-02-07,4761261677.4766,1.3294
2020-02-06,Monero,1361272130.0779,2020-02-07,1387160627.2982,1.9018
2020-02-06,NEM,530703138.334,2020-02-07,532379679.2021,0.3159
2020-02-06,Stellar,1415482427.8505,2020-02-07,1438149359.2431,1.6014
2020-02-06,Tether,4629443565.5443,2020-02-07,4631927115.8752,0.0536
2020-02-06,TRON,1502696305.0187,2020-02-07,1471040417.5353,2.1066
2020-02-06,USD Coin,431805231.0238,2020-02-07,426872132.9985,1.1424
2020-02-06,Wrapped Bitcoin,6797234.7614,2020-02-07,6857327.6516,0.8841
2020-02-06,XRP,12332253053.2308,2020-02-07,12204223474.2336,1.0382
2020-02-07,Binance Coin,3431490966.6219,2020-02-08,3387965857.9858,1.2684
2020-02-07,Bitcoin,178339437206.337,2020-02-08,179615828322.347,0.7157
2020-02-07,Cardano,1550188288.7477,2020-02-08,1554184887.8945,0.2578
2020-02-07,Chainlink,1157986128.4145,2020-02-08,1195060080.039,3.2016
2020-02-07,Cosmos,917332059.3687,2020-02-08,882422410.254,3.8056
2020-02-07,Crypto.com Coin,801063865.0602,2020-02-08,804916321.6613,0.4809
2020-02-07,Dogecoin,341181360.9822,2020-02-08,389267351.0128,14.094
2020-02-07,EOS,4380585470.13,2020-02-08,4532861110.5666,3.4761
