Date,Name,High,PostDate,PostHigh,Change
2020-01-29,Tether,1.0063,2020-01-30,1.011,0.4671
2020-01-29,TRON,0.0197,2020-01-30,0.0197,0.0
2020-01-29,USD Coin,1.0298,2020-01-30,1.0519,2.146
2020-01-29,Wrapped Bitcoin,9511.435,2020-01-30,9648.0728,1.4366
2020-01-29,XRP,0.2413,2020-01-30,0.246,1.9478
2020-01-30,Binance Coin,18.7032,2020-01-31,18.841,0.7368
2020-01-30,Bitcoin,9553.1261,2020-01-31,9521.7059,0.3289
2020-01-30,Cardano,0.0569,2020-01-31,0.0566,0.5272
2020-01-30,Chainlink,2.94,2020-01-31,2.9175,0.7653
2020-01-30,Cosmos,4.4685,2020-01-31,4.6039,3.0301
2020-01-30,Crypto.com Coin,0.0531,2020-01-31,0.0536,0.9416
2020-01-30,Dogecoin,0.0024,2020-01-31,0.0025,4.1667
2020-01-30,EOS,4.3909,2020-01-31,4.3641,0.6104
2020-01-30,Ethereum,186.2605,2020-01-31,185.4058,0.4589
2020-01-30,IOTA,0.3026,2020-01-31,0.2949,2.5446
2020-01-30,Litecoin,69.738,2020-01-31,69.3798,0.5136
2020-01-30,Monero,74.9774,2020-01-31,75.9852,1.3441
2020-01-30,NEM,0.0432,2020-01-31,0.0467,8.1019
2020-01-30,Stellar,0.063,2020-01-31,0.0636,0.9524
2020-01-30,Tether,1.011,2020-01-31,1.0069,0.4055
2020-01-30,TRON,0.0197,2020-01-31,0.0197,0.0
2020-01-30,USD Coin,1.0519,2020-01-31,1.0461,0.5514
2020-01-30,Wrapped Bitcoin,9648.0728,2020-01-31,9550.368,1.0127
2020-01-30,XRP,0.246,2020-01-31,0.2443,0.6911
2020-02-03,Binance Coin,18.7877,2020-02-04,18.5956,1.0225
2020-02-03,Bitcoin,9540.3717,2020-02-04,9331.2658,2.1918
2020-02-03,Cardano,0.0577,2020-02-04,0.0577,0.0
2020-02-03,Chainlink,2.863,2020-02-04,2.8009,2.1691
2020-02-03,Cosmos,4.4569,2020-02-04,4.2627,4.3573
2020-02-03,Crypto.com Coin,0.0553,2020-02-04,0.0562,1.6275
2020-02-03,Dogecoin,0.0025,2020-02-04,0.0025,0.0
2020-02-03,EOS,4.3497,2020-02-04,4.267,1.9013
2020-02-03,Ethereum,193.4369,2020-02-04,191.1115,1.2021
2020-02-03,IOTA,0.3686,2020-02-04,0.3426,7.0537
2020-02-03,Litecoin,72.3853,2020-02-04,70.3321,2.8365
2020-02-03,Monero,78.1168,2020-02-04,77.2262,1.1401
2020-02-03,NEM,0.0496,2020-02-04,0.0498,0.4032
2020-02-03,Stellar,0.0654,2020-02-04,0.0667,1.9878
2020-02-03,Tether,1.0067,2020-02-04,1.0051,0.1589
2020-02-03,TRON,0.0196,2020-02-04,0.0194,1.0204
2020-02-03,USD Coin,1.0334,2020-02-04,1.0292,0.4064
2020-02-03,Wrapped Bitcoin,9584.2584,2020-02-04,9382.3794,2.1064
2020-02-03,XRP,0.2564,2020-02-04,0.2696,5.1482
2020-02-05,Binance Coin,19.4072,2020-02-06,20.7927,7.1391
2020-02-05,Bitcoin,9701.3,2020-02-06,9824.6193,1.2712
2020-02-05,Cardano,0.0599,2020-02-06,0.0606,1.1686
2020-02-05,Chainlink,2.8746,2020-02-06,2.9297,1.9168
2020-02-05,Cosmos,4.3468,2020-02-06,4.5814,5.3971
2020-02-05,Crypto.com Coin,0.0588,2020-02-06,0.0595,1.1905
2020-02-05,Dogecoin,0.0026,2020-02-06,0.0027,3.8462
2020-02-05,EOS,4.5701,2020-02-06,4.6445,1.628
2020-02-05,Ethereum,206.804,2020-02-06,214.5977,3.7686
2020-02-05,IOTA,0.3406,2020-02-06,0.3446,1.1744
2020-02-05,Litecoin,73.1816,2020-02-06,74.6568,2.0158
2020-02-05,Monero,78.8494,2020-02-06,79.7747,1.1735
2020-02-05,NEM,0.0593,2020-02-06,0.0648,9.2749
2020-02-05,Stellar,0.0691,2020-02-06,0.0712,3.0391
2020-02-05,Tether,1.0065,2020-02-06,1.0182,1.1624
2020-02-05,TRON,0.0208,2020-02-06,0.0232,11.5385
2020-02-05,USD Coin,1.0354,2020-02-06,1.0332,0.2125
2020-02-05,Wrapped Bitcoin,9828.3181,2020-02-06,9939.8051,1.1343
2020-02-05,XRP,0.281,2020-02-06,0.2859,1.7438
2020-02-06,Binance Coin,20.7927,2020-02-07,22.4798,8.1139
2020-02-06,Bitcoin,9824.6193,2020-02-07,9834.7168,0.1028
2020-02-06,Cardano,0.0606,2020-02-07,0.0623,2.8053
2020-02-06,Chainlink,2.9297,2020-02-07,3.3531,14.452
2020-02-06,Cosmos,4.5814,2020-02-07,4.8986,6.9236
2020-02-06,Crypto.com Coin,0.0595,2020-02-07,0.0597,0.3361
2020-02-06,Dogecoin,0.0027,2020-02-07,0.0028,3.7037
2020-02-06,EOS,4.6445,2020-02-07,4.673,0.6136
2020-02-06,Ethereum,214.5977,2020-02-07,223.1409,3.981
2020-02-06,IOTA,0.3446,2020-02-07,0.3313,3.8595
2020-02-06,Litecoin,74.6568,2020-02-07,74.9588,0.4045
2020-02-06,Monero,79.7747,2020-02-07,80.6111,1.0485
2020-02-06,NEM,0.0648,2020-02-07,0.0619,4.4753
2020-02-06,Stellar,0.0712,2020-02-07,0.0729,2.3876
2020-02-06,Tether,1.0182,2020-02-07,1.0028,1.5125
2020-02-06,TRON,0.0232,2020-02-07,0.0235,1.2931
2020-02-06,USD Coin,1.0332,2020-02-07,1.0248,0.813
2020-02-06,Wrapped Bitcoin,9939.8051,2020-02-07,10026.7709,0.8749
2020-02-06,XRP,0.2859,2020-02-07,0.2865,0.2099
2020-02-07,Binance Coin,22.4798,2020-02-08,22.1653,1.399
2020-02-07,Bitcoin,9834.7168,2020-02-08,9876.7493,0.4274
2020-02-07,Cardano,0.0623,2020-02-08,0.0611,1.9262
2020-02-07,Chainlink,3.3531,2020-02-08,3.4543,3.0181
2020-02-07,Cosmos,4.8986,2020-02-08,4.8071,1.8679
2020-02-07,Crypto.com Coin,0.0597,2020-02-08,0.0595,0.335
2020-02-07,Dogecoin,0.0028,2020-02-08,0.0032,14.2857
2020-02-07,EOS,4.673,2020-02-08,4.8155,3.0494
2020-02-07,Ethereum,223.1409,2020-02-08,226.5881,1.5449
2020-02-07,IOTA,0.3313,2020-02-08,0.3211,3.0788
2020-02-07,Litecoin,74.9588,2020-02-08,77.4217,3.2857
2020-02-07,Monero,80.6111,2020-02-08,81.4996,1.1022
2020-02-07,NEM,0.0619,2020-02-08,0.0598,3.3926
2020-02-07,Stellar,0.0729,2020-02-08,0.0723,0.823
2020-02-07,Tether,1.0028,2020-02-08,1.0066,0.3789
2020-02-07,TRON,0.0235,2020-02-08,0.0224,4.6809
2020-02-07,USD Coin,1.0248,2020-02-08,1.024,0.0781
2020-02-07,Wrapped Bitcoin,10026.7709,2020-02-08,9990.1224,0.3655
2020-02-07,XRP,0.2865,2020-02-08,0.2805,2.0942
2020-02-11,Binance Coin,25.7027,2020-02-12,26.8806,4.5828
2020-02-11,Bitcoin,10210.0526,2020-02-12,10393.6117,1.7978
2020-02-11,Cardano,0.0632,2020-02-12,0.0702,11.0759
2020-02-11,Chainlink,3.9756,2020-02-12,4.1944,5.5036
2020-02-11,Cosmos,5.1536,2020-02-12,5.3073,2.9824
2020-02-11,Crypto.com Coin,0.063,2020-02-12,0.0645,2.381
2020-02-11,Dogecoin,0.0031,2020-02-12,0.0032,3.2258
2020-02-11,EOS,5.2605,2020-02-12,5.4502,3.6061
2020-02-11,Ethereum,236.5471,2020-02-12,272.3988,15.1563
2020-02-11,IOTA,0.3342,2020-02-12,0.3533,5.7151
2020-02-11,Litecoin,76.6312,2020-02-12,82.2719,7.3608
2020-02-11,Monero,89.8376,2020-02-12,95.2596,6.0353
2020-02-11,NEM,0.0757,2020-02-12,0.0773,2.1136
2020-02-11,Stellar,0.0742,2020-02-12,0.0818,10.2426
2020-02-11,Tether,1.0048,2020-02-12,1.0063,0.1493
2020-02-11,TRON,0.0228,2020-02-12,0.0242,6.1404
2020-02-11,USD Coin,1.0223,2020-02-12,1.0354,1.2814
2020-02-11,Wrapped Bitcoin,10264.3906,2020-02-12,10597.7847,3.2481
2020-02-11,XRP,0.2807,2020-02-12,0.3075,9.5476
2020-02-12,Binance Coin,26.8806,2020-02-13,27.1175,0.8813
2020-02-12,Bitcoin,10393.6117,2020-02-13,10457.6272,0.6159
2020-02-12,Cardano,0.0702,2020-02-13,0.0721,2.7066
2020-02-12,Chainlink,4.1944,2020-02-13,4.0916,2.4509
2020-02-12,Cosmos,5.3073,2020-02-13,5.2277,1.4998
2020-02-12,Crypto.com Coin,0.0645,2020-02-13,0.0671,4.031
2020-02-12,Dogecoin,0.0032,2020-02-13,0.0032,0.0
